工作,薪資
2024 WorldQuant IQC 全球量化金融研究錦標賽,1000 ~ 2萬 USD / 按件計酬
前端工程師,6萬 ~ 10萬 TWD / 月
2024 WorldQuant IQC 全球量化金融研究錦標賽 — 04/22、04/29 線上說明會,"經常性薪資達 NT$40,000"
【10.9 萬實作獎勵金，不限年齡經驗】 2024 T 大使計畫｜第二梯次開跑！報名至 04/28 截止,10.9萬 ~ 10.9萬 TWD / 按件計酬
PM專案經理,4萬 ~ 5.5萬 TWD / 月
【MX】專案經理 / Project Manager,4萬 ~ 6.5萬 TWD / 月
【MESh +】［SaaS］Web 前端網頁工程師/Front-End Engineer,4萬 ~ 6萬 TWD / 月
Accounting Associate 會計專員 (Welcome Fresh Graduate),4萬 ~ 6萬 TWD / 月
Podcast 行銷企劃實習生 / Podcast Marketing Intern,190 ~ 200 TWD / 小時
🔥【Web3 區塊鏈新創團隊】前端工程師 Frontend Engineer,71.5萬 ~ 120萬 TWD / 年
第一屆 【存在音樂校園大使】Being Music Campus Ambassador,500 ~ 1000 TWD / 按件計酬
第三屆 【BMI計畫】BeingMusic Interns 年度實習計畫,1500 ~ 1500 TWD / 月
非文學組業務助理,39萬 ~ 45.5萬 TWD / 年
設計師（請看過頻道至少20支影片後應徵）,4萬 ~ 5萬 TWD / 月
設計助理（請看過頻道至少20支影片後應徵）,3.2萬 ~ 4萬 TWD / 月
初階遊戲開發工程師,3萬 ~ 3.5萬 TWD / 月
2D美術(非遠端職缺，需到辦公室),3萬 ~ 3.5萬 TWD / 月
2024年校園徵才_宜得利NITORI儲備幹部（歡迎 2024應屆畢業生或正職工作經驗兩年內）,3萬 ~ 4.2萬 TWD / 月
🔥【Hybrid】百人以上穩定成長博弈遊戲公司 - Node.js 後端工程師(台中） - TC,90萬 ~ 110萬 TWD / 年
【518熊班】產品設計師 Product Designer,5萬 ~ 5.5萬 TWD / 月
【出任務】PHP後端工程師,84萬 ~ 95.2萬 TWD / 年
🔥【Web3 區塊鏈新創團隊】前端工程師 Frontend Engineer,71.5萬 ~ 120萬 TWD / 年
🔥【Web3 區塊鏈新創團隊】後端工程師 Backend Engineer,58.5萬 ~ 120萬 TWD / 年
Senior Full Stack Software Engineer,155萬 ~ 285萬 TWD / 年
網站全端工程師實習生,220 ~ 300 TWD / 小時
專案管理實習生（日文）,200 ~ 250 TWD / 小時
雙橡｜行銷企劃｜Marketing MA｜正職,3.5萬 ~ 5萬 TWD / 月
雙橡｜行銷專案｜儲備幹部｜實習生｜Event & Social Media Marketing Intern,185 ~ 185 TWD / 小時
Senior Frontend Engineer,100萬 ~ 140萬 TWD / 年
自動化測試工程師 Automation Test Engineer,70萬 ~ 120萬 TWD / 年
UI / UX Design Wizard,60萬 ~ 85萬 TWD / 年
AI Engineer,90萬 ~ 120萬 TWD / 年
[遠端] 後端工程師,6.5萬 ~ 9萬 TWD / 月
[REMOTE] 日本市場向けコンテンツマーケティングクリエイター＆SEOスペシャリスト,3.5萬 ~ 5萬 TWD / 月
【全遠端】行銷實習生 Marketing Intern,100 ~ 150 USD / 月
【全遠端】日文專案管理實習生 Japanese Project Management Intern,100 ~ 200 USD / 月
e-Commerce and Digital Marketing Intern 電商與數位行銷實習生【BenQ APAC】,183 ~ 183 TWD / 小時
Influencer Team 英語市場數位行銷實習生【明基BenQ整合行銷中心】,183 ~ 183 TWD / 小時
前端工程師（React）Frontend Engineer,5萬 ~ 8萬 TWD / 月
全端工程師 Full-Stack Engineer,6萬 ~ 8萬 TWD / 月
Product Marketing Intern,183 ~ 200 TWD / 小時
Brand & Social Marketing Intern,183 ~ 200 TWD / 小時
產品測試實習生 QA Intern,250 ~ 250 TWD / 小時
財務會計實習 Accounting Intern,250 ~ 250 TWD / 小時
Paid Internship - Junior DeFi Research Engineer,250 ~ 350 TWD / 小時
Junior Front-End Software Engineer  前端工程師,6.5萬 ~ 8.5萬 TWD / 月
※學習型※ Web3 前、後端軟體研發、DeFi 協議設計、ZKP 研究實習生（Unpaid Internship）,"經常性薪資達 NT$40,000"
※學習型※ Web3 App UI/UX 設計實習生（Unpaid Internship）,"經常性薪資達 NT$40,000"
